195314593923465217	54
179981386424254465	5
144943369087483905	20
236730047367610379	1
411531244745129986	1
191635163787165697	5
336665738423304203	91
222899271865729026	22
240267096808882176	5
135088068418863104	14
408846373484494849	14
315283840543227906	1
357304876268519434	11
85573846590685196	1
57304876268519434	10
349229228623003648	1
336549130208018442	16
188035772790603786	1
244730551246782465	2
240163228028633088	1
113063222134788096	2
166207946563387392	1
332970412021383178	0
85614143951892480	0
